id,time_zone,quality_grade,license,url,sound_url,latitude,longitude,private_latitude,private_longitude,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
13644110,Central Time (US & Canada),research,,https://www.inaturalist.org/observations/13644110,,25.6793403917,-100.2834016085,,,false,Rio Grande Leopard Frog,Lithobates berlandieri,Rana leopardo,Amphibia,65975
13674646,Ekaterinburg,research,,https://www.inaturalist.org/observations/13674646,,25.6503737,-100.2901828,,,false,Gulf Coast Toad,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
13736807,Hawaii,research,CC-BY-NC,https://www.inaturalist.org/observations/13736807,,25.4986798027,-100.2631926668,,,false,Small-eared Treefrog,Rheohyla miotympanum,Calates,Amphibia,554652
13758402,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/13758402,,25.5699551,-100.3160404,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
13758403,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/13758403,,25.5702260999,-100.3158580128,,,false,Rana leopardo,Lithobates berlandieri,Rana leopardo,Amphibia,65975
13758404,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/13758404,,25.5704777271,-100.3156327051,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
14047188,Central Time (US & Canada),research,,https://www.inaturalist.org/observations/14047188,,25.5570716667,-100.22422,,,false,Giant Toad,Rhinella horribilis,Sapo gigante,Amphibia,517119
14047274,Central Time (US & Canada),research,,https://www.inaturalist.org/observations/14047274,,25.58553,-100.248825,,,false,Gulf Coast Toad,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
14244392,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/14244392,,25.5244053001,-100.2006523331,,,false,Sapo gigante,Rhinella horribilis,Sapo gigante,Amphibia,517119
14286183,Hawaii,research,CC-BY-NC,https://www.inaturalist.org/observations/14286183,,25.5043251624,-100.2671822537,,,false,Rana de Árbol Mexicana,Smilisca baudinii,Rana arborícola mexicana,Amphibia,24277
14508658,Central Time (US & Canada),research,,https://www.inaturalist.org/observations/14508658,,25.5359529285,-100.2764577082,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
15700420,Central Time (US & Canada),research,CC-BY-NC-ND,https://www.inaturalist.org/observations/15700420,,25.54643,-100.2708566667,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
15798762,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/15798762,,25.6072979156,-100.2625845458,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
15798763,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/15798763,,25.6068498638,-100.2621795322,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
16606919,Central Time (US & Canada),research,,https://www.inaturalist.org/observations/16606919,,25.5254801902,-100.379398724,,,true,Rio Grande Leopard Frog,Lithobates berlandieri,Rana leopardo,Amphibia,65975
16675262,Central Time (US & Canada),research,,https://www.inaturalist.org/observations/16675262,,25.5756994713,-100.2636370502,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
16855253,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/16855253,,25.5480666667,-100.27105,,,false,Camp's Frog,Eleutherodactylus campi,Rana Chirriadora Mexicana,Amphibia,1146656
17053972,Central Time (US & Canada),research,,https://www.inaturalist.org/observations/17053972,,25.6177364086,-100.2737618756,,,false,Gulf Coast Toad,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
17361159,Central Time (US & Canada),research,,https://www.inaturalist.org/observations/17361159,,25.5513033333,-100.225845,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
17433380,Central Time (US & Canada),research,,https://www.inaturalist.org/observations/17433380,,25.6233055272,-100.2705098375,,,false,Rana leopardo,Lithobates berlandieri,Rana leopardo,Amphibia,65975
17690490,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/17690490,,25.613398793,-100.2789933846,,,false,sapo cavador,Scaphiopus couchii,sapo cavador,Amphibia,26691
18346097,Central Time (US & Canada),research,,https://www.inaturalist.org/observations/18346097,,25.527055,-100.2815166667,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
18439324,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/18439324,,25.699400272,-100.3495953455,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
18708144,Central Time (US & Canada),research,,https://www.inaturalist.org/observations/18708144,,25.5487544012,-100.2732643,,,false,Small-eared Treefrog,Rheohyla miotympanum,Calates,Amphibia,554652
20094809,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/20094809,,25.5326009,-100.2767132,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
20099116,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/20099116,,25.5439529419,-100.2708435059,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
20099235,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/20099235,,25.5439529419,-100.2708435059,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
20104705,Samoa,research,CC-BY-NC,https://www.inaturalist.org/observations/20104705,,25.5396905,-100.2733987778,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
21193622,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/21193622,,25.5434216667,-100.271405,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
21496782,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/21496782,,25.55168,-100.2258833333,,,false,Rana leopardo,Lithobates berlandieri,Rana leopardo,Amphibia,65975
21634520,Hawaii,research,CC-BY-NC,https://www.inaturalist.org/observations/21634520,,25.5410251179,-100.2721557766,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
21712766,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/21712766,,25.5519033333,-100.2263116667,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
21746208,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/21746208,,25.551955,-100.2263033333,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
22070039,Hawaii,research,,https://www.inaturalist.org/observations/22070039,,25.5486383333,-100.27088,,,false,Small-eared Treefrog,Rheohyla miotympanum,Calates,Amphibia,554652
