id,time_zone,quality_grade,license,url,sound_url,latitude,longitude,private_latitude,private_longitude,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
266855011,Monterrey,research,,https://www.inaturalist.org/observations/266855011,,25.54972075,-100.2702560278,,,false,Chara verde,Cyanocorax yncas,Chara verde,Aves,8474
266952150,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266952150,,25.6505816337,-100.2894952522,,,false,Paloma Alas Blancas,Zenaida asiatica,Paloma Alas Blancas,Aves,3460
267005693,Monterrey,research,,https://www.inaturalist.org/observations/267005693,,25.7218282736,-100.3143955395,,,false,Pinzón mexicano,Haemorhous mexicanus,Pinzón mexicano,Aves,199840
267008723,Monterrey,research,,https://www.inaturalist.org/observations/267008723,,25.6752292275,-100.2856376517,,,false,Carpintero cheje,Melanerpes aurifrons,Carpintero cheje,Aves,18167
267008822,Monterrey,research,,https://www.inaturalist.org/observations/267008822,,25.6753552887,-100.285527271,,,false,Bienteveo Común,Pitangus sulphuratus,Luis Bienteveo,Aves,16956
267139896,Monterrey,research,,https://www.inaturalist.org/observations/267139896,,25.6462292077,-100.3131567685,,,true,Perico Mexicano,Psittacara holochlorus,Perico Mexicano,Aves,979922
267148489,Monterrey,research,,https://www.inaturalist.org/observations/267148489,,25.6803047417,-100.2822300694,,,false,Pato de Collar,Anas platyrhynchos,Pato de Collar,Aves,6930
267148544,Monterrey,research,,https://www.inaturalist.org/observations/267148544,,25.6802993361,-100.282280025,,,false,Garcita Verde,Butorides virescens,Garcita Verde,Aves,5020
267265317,Monterrey,research,,https://www.inaturalist.org/observations/267265317,,25.6412539097,-100.279399061,,,false,Plain Chachalaca,Ortalis vetula,Chachalaca Oriental,Aves,2090
267271798,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/267271798,,25.7154350992,-100.2908798669,,,true,Loro frente blanca,Amazona albifrons,Loro frente blanca,Aves,18995
267271921,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/267271921,,25.6018133717,-100.3729722847,,,true,Loro tamaulipeco,Amazona viridigenalis,Loro tamaulipeco,Aves,18976
267429685,Monterrey,research,,https://www.inaturalist.org/observations/267429685,,25.6865216667,-100.375305,,,false,Rock Pigeon,Columba livia,Paloma Doméstica,Aves,3017
267585511,Monterrey,research,,https://www.inaturalist.org/observations/267585511,,25.6019055556,-100.2585777778,,,false,Chara verde,Cyanocorax yncas,Chara verde,Aves,8474
267585741,Monterrey,research,,https://www.inaturalist.org/observations/267585741,,25.6016722222,-100.2582944444,,,false,Garza dedos dorados,Egretta thula,Garza dedos dorados,Aves,4940
267802867,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/267802867,,25.6798637352,-100.2816243097,,,false,Luisito Común,Myiozetetes similis,Luisito Común,Aves,16842
268134049,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/268134049,,25.5692279,-100.2583846,,,false,Cabezón Degollado,Pachyramphus aglaiae,Cabezón Degollado,Aves,8671
268134052,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/268134052,,25.5663285878,-100.2606191961,,,false,Momoto corona azul,Momotus coeruliceps,Momoto corona azul,Aves,509027
